did,dataset_name,num_instances,num_attributes,dimensionality,num_numeric_attr,pct_numeric_attr,num_nominal_attr,pct_nominal_attr,avg_nominal_values,sd_nominal_values,min_nominal_values,max_nominal_values,avg_numeric_mean,sd_numeric_mean,min_numeric_mean,max_numeric_mean,missing_attr_cnt,missing_attr_pct,missing_instances_max_cnt,missing_instances_max_pct,missing_instances_min_cnt,missing_instances_min_pct,missing_instances_mean,missing_instances_mean_pct
313,spectrometer,531,103,19.3974,100,97.0874,3,2.91262,194.333,238.736,4,531,4677.61,3373.97,-10,12541,0,0,0,0,0,0,0,0
1526,wall-robot-navigation,5456,5,0.0916422,4,80,1,20,4,0,4,4,1.25,0.433013,1,2,0,0,0,0,0,0,0,0
307,vowel,990,13,1.31313,10,76.9231,3,23.0769,9.33333,5.4365,2,15,0,1.26491,-3,2,0,0,0,0,0,0,0,0
1097,ICU,200,21,10.5,21,100,0,0,0,0,0,0,35.8095,98.0056,0,445,0,0,0,0,0,0,0,0
1040,sylva_prior,14395,109,0.757207,108,99.0826,1,0.917431,2,0,2,2,84.1667,203.346,0,879,0,0,0,0,0,0,0,0
1596,covertype,581012,55,0.00946624,10,18.1818,45,81.8182,2.11111,0.737028,2,7,835.2,1069.44,14,2959,0,0,0,0,0,0,0,0
4563,SpokenArabicDigit,178526,13,0.00728185,13,100,0,0,0,0,0,0,-0.384615,1.07692,-3,2,13,100,4400,2.46463,4400,2.46463,4400,2.46463
1070,kc1-numeric,145,95,65.5172,95,100,0,0,0,0,0,0,1276.93,8219.37,0,76250,0,0,0,0,0,0,0,0
1035,ESL,488,5,1.02459,5,100,0,0,0,0,0,0,5.4,0.489898,5,6,0,0,0,0,0,0,0,0
375,JapaneseVowels,9961,15,0.150587,14,93.3333,1,6.66667,9,0,9,9,2.07143,5.49629,-1,20,0,0,0,0,0,0,0,0
197,cpu_act,8192,22,0.268555,22,100,0,0,0,0,0,0,73907.6,277306,1,1.33E+06,0,0,0,0,0,0,0,0
10,lymph,148,19,12.8378,3,15.7895,16,84.2105,3,1.5411,2,8,2,0.816497,1,3,0,0,0,0,0,0,0,0
1044,eye_movements,10936,28,0.256035,24,85.7143,4,14.2857,2.25,0.433013,2,3,349.417,1075.08,0,5469,0,0,0,0,0,0,0,0
1505,tamilnadu-electricity,45781,4,0.00873725,2,50,2,50,25.5,5.5,20,31,0.5,0.5,0,1,0,0,0,0,0,0,0,0
1087,hepatitisC,283,54622,19301.1,999,1.82893,1,0.00183076,3,0,3,3,2.61461,0.95684,1,6,0,0,0,0,0,0,0,0
19,bridges,107,13,12.1495,0,0,13,100,15.3077,29.6943,2,107,0,0,0,0,9,69.2308,26,24.2991,1,0.934579,5.61538,5.24802
1094,Acorns,39,5,12.8205,3,60,2,40,20.5,18.5,2,39,2634.33,3711.37,3,7883,0,0,0,0,0,0,0,0
150,covertype,581012,55,0.00946624,10,18.1818,45,81.8182,2.11111,0.737028,2,7,0.4,0.489898,0,1,0,0,0,0,0,0,0,0
492,newton_hema,140,4,2.85714,3,75,1,25,11,0,11,11,52.3333,13.5728,37,70,0,0,0,0,0,0,0,0
4548,BuzzinsocialmediaTomsHardware,28179,97,0.344228,97,100,0,0,0,0,0,0,312.134,972.009,0,3943,0,0,0,0,0,0,0,0
315,us_crime,1994,128,6.41926,127,99.2188,0,0,0,0,0,0,364.598,4082.28,0,46188,25,19.5313,1675,84.002,1,0.0501505,306.266,15.3594
1470,dresses-sales,500,13,2.6,1,7.69231,12,92.3077,13.8333,7.43677,2,25,4,0,4,4,0,0,0,0,0,0,0,0
1084,BurkittLymphoma,220,22284,10129.1,999,4.48304,1,0.00448752,3,0,3,3,5.76476,1.06059,3,10,0,0,0,0,0,0,0,0
4137,Dorothea,1150,100001,8695.74,1000,0.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,puma32H,8192,33,0.402832,33,100,0,0,0,0,0,0,0.424242,0.552148,-1,1,0,0,0,0,0,0,0,0
1461,bank-marketing,45211,17,0.0376015,7,41.1765,10,58.8235,4.6,3.77359,2,12,245.857,463.224,1,1362,0,0,0,0,0,0,0,0
4135,Amazon_employee_access,32769,10,0.0305166,0,0,10,100,1562.8,2369.58,2,7518,0,0,0,0,0,0,0,0,0,0,0,0
